"","x"
"1",6242
"2",6123
"3",4932
"4",9467
"5",6897
"6",3530
"7",5377
"8",8457
"9",1189
"10",2892
"11",8466
"12",2608
"13",2432
"14",5105
"15",6446
"16",6573
"17",723
"18",610
"19",5752
"20",3206
"21",7597
"22",920
"23",2714
"24",8571
"25",3531
"26",2674
"27",9191
"28",3033
"29",3458
"30",2526
"31",5411
"32",3725
"33",6738
"34",6249
"35",3472
"36",8985
"37",7411
"38",4424
"39",9546
"40",7670
"41",4546
"42",7993
"43",504
"44",2994
"45",4322
"46",553
"47",713
"48",7632
"49",2028
"50",7033
"51",2014
"52",337
"53",8684
"54",8579
"55",5507
"56",9011
"57",3827
"58",5732
"59",6154
"60",8612
"61",5915
"62",1272
"63",3733
"64",3018
"65",3524
"66",7987
"67",5788
"68",3121
"69",5251
"70",4346
"71",4768
"72",5885
"73",8045
"74",6452
"75",9816
"76",8790
"77",1269
"78",1766
"79",3139
"80",2776
"81",5820
"82",614
"83",7314
"84",6406
"85",5619
"86",5578
"87",5046
"88",5185
"89",3303
"90",8391
"91",1381
"92",1899
"93",2144
"94",4681
"95",5967
"96",4993
"97",2358
"98",3456
"99",9242
"100",2764
"101",4011
"102",9744
"103",6120
"104",295
"105",4096
"106",994
"107",3535
"108",7453
"109",1296
"110",4665
"111",116
"112",2622
"113",7146
"114",7396
"115",5456
"116",9153
"117",8237
"118",2555
"119",8576
"120",9681
"121",7115
"122",2241
"123",1586
"124",3069
"125",1791
"126",1064
"127",5237
"128",7305
"129",4035
"130",7918
"131",3464
"132",2993
"133",3688
"134",8945
"135",3741
"136",2712
"137",9886
"138",1817
"139",899
"140",1725
"141",6965
"142",1298
"143",7607
"144",6285
"145",3172
"146",9274
"147",3267
"148",1477
"149",4946
"150",7017
"151",9137
"152",9348
"153",7164
"154",7368
"155",4058
"156",3547
"157",2796
"158",8198
"159",2238
"160",5854
"161",2729
"162",1931
"163",590
"164",5013
"165",3438
"166",2773
"167",8739
"168",6323
"169",5374
"170",8430
"171",1653
"172",3825
"173",1071
"174",7903
"175",4888
"176",4050
"177",1974
"178",4757
"179",7390
"180",9878
"181",2870
"182",5063
"183",1178
"184",1719
"185",7815
"186",64
"187",526
"188",6569
"189",1527
"190",2207
"191",3255
"192",9712
"193",6873
"194",9449
"195",8550
"196",8067
"197",6500
"198",8054
"199",5527
"200",679
"201",2040
"202",6278
"203",7606
"204",645
"205",100
"206",2398
"207",4507
"208",5334
"209",7388
"210",656
"211",722
"212",2083
"213",1103
"214",5621
"215",5259
"216",4381
"217",2866
"218",3418
"219",5816
"220",7007
"221",8463
"222",4926
"223",1414
"224",1072
"225",997
"226",7852
"227",1910
"228",807
"229",3966
"230",1026
"231",9894
"232",2202
"233",7957
"234",1563
"235",365
"236",3259
"237",4318
"238",7582
"239",5576
"240",3221
"241",5546
"242",7747
"243",2969
"244",7672
"245",3309
"246",1219
"247",4602
"248",3169
"249",5075
"250",3837
"251",8138
"252",1848
"253",2987
"254",1084
"255",5554
"256",4538
"257",2498
"258",6424
"259",7917
"260",7687
"261",8341
"262",7080
"263",1761
"264",3422
"265",8558
"266",2435
"267",5436
"268",30
"269",7366
"270",4855
"271",3555
"272",7872
"273",9442
"274",775
"275",1452
"276",7714
"277",19
